PHYSICIAN,CroMax_RX,GlycoMax_RX,AllergyMax_RX,FevMax_RX,ColdMax_RX
AP1912920,0,50,510,152,0
AP1350415,2370,1320,60,1416,2676
AP0129322,0,85,0,0,144
AP0462902,30,570,0,128,3900
AP3185026,0,40,1080,0,0
AP3674571,70,40,0,64,0
AP0126982,0,135,0,0,0
,150,315,270,184,36
AP1807651,0,650,0,0,300
AP0728371,0,0,0,0,0
AP1934892,640,390,0,280,0
AP1595288,160,35,45,0,0
AP1883103,0,225,240,0,0
AP1365782,400,15,255,704,444
,90,150,0,0,204
AP2443797,0,25,0,72,48
AP0036951,330,525,0,0,0
AP3200230,0,135,0,0,0
AP0139724,0,85,360,0,480
AP2166075,0,70,0,0,36
,0,20,0,0,48
AP1332969,90,870,0,88,24
AP2130355,160,145,0,0,180
AP0714887,160,780,615,16,2964
AP2214740,0,90,0,0,0
AP0857188,0,130,0,0,588
,150,220,510,32,1128
AP1874350,0,0,75,0,0
AP3209293,0,55,465,0,0
AP0089696,930,250,3435,0,396
AP0481633,0,340,45,280,0
AP0692473,90,215,375,0,348
AP0406810,0,110,1230,0,36
AP0464297,,405,0,0,36
AP0445910,0,105,30,0,24
AP0779390,0,60,0,0,0
AP2215776,0,345,0,0,252
AP0694081,0,110,0,0,144
AP1895556,0,0,15,0,36
AP2174419,20,125,15,64,24
AP0438309,370,85,0,0,780
AP4321151,0,0,0,0,204
AP1326350,80,250,690,128,48
AP0162284,0,45,0,0,696
AP2405857,20,55,0,104,240
AP1983160,0,45,780,0,0
AP0126647,0,210,0,0,180
AP2141780,0,65,0,0,288
AP1948690,,105,690,8,0
AP0813944,50,0,975,0,0
AP3205369,30,15,0,0,0
AP1325007,30,45,0,0,0
AP0727498,0,20,75,0,120
AP1976314,170,495,0,200,24
AP0813539,0,340,0,0,516
AP3632706,140,380,165,32,0
AP1871832,140,345,0,0,36
AP0092627,1360,1090,210,24,192
AP0684454,50,15,105,0,216
AP1815618,140,110,0,24,0
AP1336947,0,275,0,0,324
AP1816314,0,65,0,0,300
AP0794316,0,205,1245,0,0
AP2010286,0,175,210,0,0
AP0093884,80,65,1365,0,0
AP2102094,,220,0,432,216
AP2940337,0,255,45,48,0
AP0476079,80,70,75,0,0
AP1822470,120,330,1200,0,504
AP1811449,0,85,0,88,564
AP0683877,50,90,240,0,0
AP0118925,160,375,0,240,0
AP2152296,0,40,0,0,324
AP1343639,10,45,0,24,528
AP1869077,1830,140,0,488,72
AP2196115,0,0,0,0,384
AP1230067,110,70,0,0,0
AP2014650,0,60,0,0,60
AP2281620,0,255,0,0,36
AP1336198,150,615,0,0,0
AP0849708,0,90,3495,0,0
AP2113896,20,30,0,0,0
AP1834639,270,1240,60,40,60
AP0455565,0,105,810,24,1896
AP0849030,0,80,525,0,24
AP0478796,630,240,150,0,96
AP3589376,0,135,0,0,72
AP2459335,320,320,0,256,12
AP0812453,,45,0,0,264
AP0433841,120,65,0,0,0
AP1947403,0,240,0,8,156
AP0189854,0,70,720,0,0
AP3883979,0,255,0,0,132
AP0390218,0,105,180,40,0
AP2286280,0,0,0,0,144
AP1957774,390,15,0,16,36
AP1273998,480,630,0,0,0
AP1228990,0,0,0,0,180
AP1881803,0,10,0,0,0
AP4772804,10,0,0,0,0
